date,t_avg,t_min,t_max,percepitation,wind_dir,wind_speed,wind_peak_gust,pressure,streik
2023-01-01,13.9,11.1,15.5,0.00,224,21.1,50,1014.9,0
2023-01-02,12.1,10.1,14.6,0.02,221,17.4,38.9,1016.1,0
2023-01-03,6.2,3.1,9.7,0.00,252,13.1,33.3,1026.6,0
2023-01-04,6.4,3.5,9.5,1.5,214,22.3,50,1016,0
2023-01-05,7.9,4.6,9.2,0.06,285,23.3,59.3,1012.8,0
2023-01-06,6.2,4.1,8.7,0.08,207,12.6,33.3,1018.3,0
2023-01-07,7,5.2,9.7,0.04,190,12.2,29.6,1016.2,0
2023-01-08,6.7,5.2,8.4,0.30,179,14.9,29.6,1006.2,0
2023-01-09,5.7,4,7.6,0.14,196,12.1,25.9,1000.3,0
2023-01-10,5.1,3.8,6.8,0.00,244,14.1,27.8,1014.8,0
2023-01-11,6.2,3.7,8.1,0.81,206,17.8,37,1011.5,0
2023-01-12,8,6.2,9.5,0.22,213,23.7,53.7,1008,0
2023-01-13,9.2,7,10.5,0.00,226,20.7,42.6,1005.4,0
2023-01-14,7.5,6.7,8.6,1.30,214,22.1,50,1008.9,0
2023-01-15,7.4,4.3,9.8,0.00,227,21.6,48.2,998.7,0
2023-01-16,4.4,2.7,6.7,0.01,169,18.8,42.6,993.2,0
2023-01-17,2.9,-0.5,5,0.02,206,16.8,42.6,985.4,0
2023-01-18,-0.5,-1.5,0.8,0.00,8,7.4,18.5,995.5,0
2023-01-19,-0.8,-3.3,2.3,0.00,198,12.9,29.6,1005,0
2023-01-20,-0.7,-2.2,1.5,0.00,275,7.2,18.5,1016,0
2023-01-21,0.7,-1,2.1,0.50,11,18.5,48.2,1026.4,0
2023-01-22,1.6,1.2,1.9,0.02,51,14.9,37,1030.1,0
2023-01-23,1.6,0.5,2.4,0.00,64,10.1,22.2,1037.5,0
2023-01-24,0,-1.1,1.5,0.00,58,6.5,16.7,1040.3,0
2023-01-25,-0.1,-1.1,1.2,0.00,199,5.4,14.8,1033.2,0
2023-01-26,-0.2,-0.8,0.1,0.00,288,6.6,14.8,1022.7,0
2023-01-27,0.6,-0.7,1.9,0.04,14,12.1,31.5,1024.7,0
2023-01-28,-0.6,-1.6,0.9,0.00,326,9,20.4,1028.1,0
2023-01-29,1.2,-1.4,2.8,0.05,246,15.5,38.9,1023.2,0
2023-01-30,3.5,2.7,4.5,0.34,266,26.2,63,1007.9,0
2023-01-31,3.6,2.4,4.5,0.57,273,24.7,57.4,1013.7,0
2023-02-01,4.1,3.4,4.9,0.84,271,25.7,55.5,1009.3,0
2023-02-02,4,1,5.6,0.40,292,21.9,64.8,1015.7,0
2023-02-03,5.3,1.6,7.7,0.51,265,25.2,68.5,1014.3,0
2023-02-04,1.7,-2.5,4.9,0.00,349,15.7,55.5,1034,0
2023-02-05,-2.3,-4.2,0.9,0.01,156,7.9,22.2,1038.8,0
2023-02-06,-2,-4,0.9,0.08,130,7.6,18.5,1040.2,0
2023-02-07,-2.4,-5.5,1.8,0.00,173,4.8,13,1042.7,0
2023-02-08,-2,-5.2,2.3,0.00,148,10.8,27.8,1041.5,0
2023-02-09,-1.8,-5.5,2.5,0.00,198,13,27.8,1033.4,0
2023-02-10,1.9,-1.1,4.8,0.00,249,15,31.5,1033,0
2023-02-11,6,3,8.4,0.08,268,19.4,44.5,1028.4,0
2023-02-12,6.9,5.8,8.3,0.03,278,10.4,24.1,1036.5,0
2023-02-13,6.5,4.3,8.2,0.00,284,10.6,25.9,1037.6,0
2023-02-14,4.2,1.9,8.2,0.00,196,6.8,16.7,1036.3,0
2023-02-15,2.9,-0.8,7.8,0.00,177,9.1,18.5,1028.6,0
2023-02-16,4.9,0.8,9.2,0.11,236,11.2,25.9,1022.7,0
2023-02-17,8.7,6.3,11.2,0.30,244,22.4,66.7,1014.2,0
2023-02-18,7.2,6,8.3,1.16,275,20.4,61.1,1013.1,0
2023-02-19,4.7,2.8,6.4,0.00,298,15,40.8,1018.2,0
2023-02-20,6.8,2.6,9.7,0.04,260,24,63,1016,0
2023-02-21,8.9,7.1,9.9,0.09,288,20,53.7,1014.3,0
2023-02-22,7.3,4.9,10.4,0.00,133,10,29.6,1016.4,0
2023-02-23,7.2,4.2,10.7,0.11,190,11.4,27.8,1012.4,0
2023-02-24,4,2.9,7.4,0.51,263,17.6,42.6,1003.7,0
2023-02-25,1.4,-0.5,2.9,0.22,317,21.6,50,1001.9,0
2023-02-26,-0.1,-1.7,2.5,0.00,354,15.1,35.2,1019.8,0
2023-02-27,0.1,-2.9,3.6,0.00,14,8.5,22.2,1029.1,0
2023-02-28,0.8,-3,5.2,0.0,77,6.7,18.5,1032.2,0
2023-03-01,1.3,-3.6,7.1,0.00,33,5.4,16.7,1029.4,0
2023-03-02,1,-2.3,5.4,0.00,38,7.8,16.7,1025.4,0
2023-03-03,1.7,-1.3,5.8,0.00,292,10.8,31.5,1022.5,0
2023-03-04,3.2,1.3,5.1,0.02,292,16.9,40.8,1017,0
2023-03-05,1.4,0.2,3.3,0.24,287,15.7,44.5,1011.7,0
2023-03-06,1.1,-1.4,3,0.19,256,11.1,25.9,1004,0
